Rank,Player,Team,Bye,POS,Yahoo,CBS,FFC,NFL,Fantrax,DW,AVG
160,Cairo Santos,KC,10,K7,,236,216,89,217,138,179.2
161,Taylor Gabriel,ATL,5,WR56,,186,134,191,160,176,169.4
162,Jonathan Williams,BUF,6,RB54,,195,152,,139,163,162.3
163,Steven Hauschka,BUF,6,K8,,242,222,100,214,150,185.6
164,Cole Beasley,DAL,6,WR57,,151,185,171,168,180,171.0
165,Tyler Lockett,SEA,6,WR58,,201,163,169,145,182,172.0
166,Adam Vinatieri,IND,11,K9,,204,215,151,182,130,176.4
167,Kevin White,CHI,9,WR59,,200,176,230,121,170,179.4
168,Austin Hooper,ATL,5,TE17,,161,181,227,154,172,179.0
169,J.J. Nelson,ARI,8,WR60,,130,214,215,177,161,179.4
170,Julius Thomas,MIA,11,TE18,,181,165,183,161,186,175.2
171,Jacksonville Jaguars,DST,8,DST10,,160,198,170,,156,171.0
172,Josh Doctson,WAS,5,WR61,,187,156,232,163,179,183.4
173,Marlon Mack,IND,11,RB55,,180,148,,191,168,171.8
174,Deshaun Watson,HOU,7,QB21,,164,192,178,164,191,177.8
175,Giovani Bernard,CIN,6,RB56,,203,171,198,172,149,178.6
176,Baltimore Ravens,DST,10,DST11,,147,183,180,,181,172.8
177,Rex Burkhead,NE,9,RB57,,231,161,244,151,178,193.0
178,Los Angeles Rams,DST,8,DST12,,214,204,136,,154,177.0
179,Evan Engram,NYG,8,TE19,,169,184,186,159,196,178.8
180,Pittsburgh Steelers,DST,9,DST13,,157,210,138,,213,179.5
181,Dion Lewis,NE,9,RB58,,159,177,200,203,162,180.2
182,Alex Smith,KC,10,QB22,,148,160,189,223,240,192.0
183,Jared Cook,OAK,10,TE20,,162,178,160,224,199,184.6
184,Will Lutz,NO,5,K10,,190,221,142,207,166,185.2
185,Sebastian Janikowski,OAK,10,K11,,185,205,149,240,165,188.8
186,Antonio Gates,LAC,9,TE21,,197,169,155,195,187,180.6
187,Chandler Catanzaro,NYJ,11,K12,,,,115,283,192,196.7
188,Cameron Brate,TB,11,TE22,,198,173,158,198,185,182.4
189,Alfred Morris,DAL,6,RB59,,177,159,259,238,183,203.2
190,Chris Boswell,PIT,9,K13,,219,220,126,222,211,199.6
191,Breshad Perriman,BAL,10,WR62,,191,193,226,149,197,191.2
192,Blake Bortles,JAC,8,QB23,,149,179,209,219,203,191.8
193,Mohamed Sanu,ATL,5,WR63,,172,180,188,192,201,186.6
194,Matt Prater,DET,7,K14,,226,213,185,201,146,194.2
195,Robby Anderson,NYJ,11,WR64,,217,,300,138,193,212.0
196,D'Onta Foreman,HOU,7,RB60,,188,164,233,193,189,193.4
197,Philadelphia Eagles,DST,10,DST14,,175,206,159,,227,191.8
198,Joe Flacco,BAL,10,QB24,,158,202,203,178,228,193.8
199,Cooper Kupp,LAR,8,WR65,,,194,276,142,226,209.5
200,Kenny Golladay,DET,7,WR66,,199,162,,179,210,187.5
201,DeAndre Washington,OAK,10,RB61,,215,168,263,200,174,204.0
202,Dwayne Allen,NE,9,TE23,,239,155,205,226,188,202.6
